,topleft,topright,bottomleft,bottomright,radius
1015,"{'x': -80.84513487499999, 'y': 35.185340515625}","{'x': -80.85043775, 'y': 35.185340515625}","{'x': -80.84513487499999, 'y': 35.1794051875}","{'x': -80.85043775, 'y': 35.1794051875}",408.60298352806734
1016,"{'x': -80.85043875, 'y': 35.2031525}","{'x': -80.85574212499999, 'y': 35.2031525}","{'x': -80.85043875, 'y': 35.197215671875}","{'x': -80.85574212499999, 'y': 35.197215671875}",408.65258620329377
1017,"{'x': -80.85574312499999, 'y': 35.2031525}","{'x': -80.86104549999999, 'y': 35.2031525}","{'x': -80.85574312499999, 'y': 35.197215671875}","{'x': -80.86104549999999, 'y': 35.197215671875}",408.62580305557674
1018,"{'x': -80.85043875, 'y': 35.197214671875}","{'x': -80.85574212499999, 'y': 35.197214671875}","{'x': -80.85043875, 'y': 35.19127884375}","{'x': -80.85574212499999, 'y': 35.19127884375}",408.6180664716563
1019,"{'x': -80.85574312499999, 'y': 35.197214671875}","{'x': -80.86104549999999, 'y': 35.197214671875}","{'x': -80.85574312499999, 'y': 35.19127884375}","{'x': -80.86104549999999, 'y': 35.19127884375}",408.59127714475125
1020,"{'x': -80.83982999999999, 'y': 35.2031525}","{'x': -80.84513387499999, 'y': 35.2031525}","{'x': -80.83982999999999, 'y': 35.197215671875}","{'x': -80.84513387499999, 'y': 35.197215671875}",408.6659790139341
1021,"{'x': -80.84513487499999, 'y': 35.2031525}","{'x': -80.85043775, 'y': 35.2031525}","{'x': -80.84513487499999, 'y': 35.197215671875}","{'x': -80.85043775, 'y': 35.197215671875}",408.63919421790894
1022,"{'x': -80.83982999999999, 'y': 35.197214671875}","{'x': -80.84513387499999, 'y': 35.197214671875}","{'x': -80.83982999999999, 'y': 35.19127884375}","{'x': -80.84513387499999, 'y': 35.19127884375}",408.6314623719684
1023,"{'x': -80.84513487499999, 'y': 35.197214671875}","{'x': -80.85043775, 'y': 35.197214671875}","{'x': -80.84513487499999, 'y': 35.19127884375}","{'x': -80.85043775, 'y': 35.19127884375}",408.6046713966517
1024,"{'x': -80.82922306249998, 'y': 35.02504578125}","{'x': -80.83452603125, 'y': 35.02504578125}","{'x': -80.82922306249998, 'y': 35.019109890625}","{'x': -80.83452603125, 'y': 35.019109890625}",408.9106441283542
1025,"{'x': -80.83452703124999, 'y': 35.02504578125}","{'x': -80.839829, 'y': 35.02504578125}","{'x': -80.83452703124999, 'y': 35.019109890625}","{'x': -80.839829, 'y': 35.019109890625}",408.88376267460154
1026,"{'x': -80.82922306249998, 'y': 35.019108890625006}","{'x': -80.83452603125, 'y': 35.019108890625006}","{'x': -80.82922306249998, 'y': 35.013174}","{'x': -80.83452603125, 'y': 35.013174}",408.8761268697843
1027,"{'x': -80.83452703124999, 'y': 35.019108890625006}","{'x': -80.839829, 'y': 35.019108890625006}","{'x': -80.83452703124999, 'y': 35.013174}","{'x': -80.839829, 'y': 35.013174}",408.8492392422619
1028,"{'x': -80.81861512499998, 'y': 35.02504578125}","{'x': -80.82391859374998, 'y': 35.02504578125}","{'x': -80.81861512499998, 'y': 35.019109890625}","{'x': -80.82391859374998, 'y': 35.019109890625}",408.92408609354476
1029,"{'x': -80.82391959374998, 'y': 35.02504578125}","{'x': -80.82922206249998, 'y': 35.02504578125}","{'x': -80.82391959374998, 'y': 35.019109890625}","{'x': -80.82922206249998, 'y': 35.019109890625}",408.8972029879153
1030,"{'x': -80.81861512499998, 'y': 35.019108890625006}","{'x': -80.82391859374998, 'y': 35.019108890625006}","{'x': -80.81861512499998, 'y': 35.013174}","{'x': -80.82391859374998, 'y': 35.013174}",408.8895719219356
1031,"{'x': -80.82391959374998, 'y': 35.019108890625006}","{'x': -80.82922206249998, 'y': 35.019108890625006}","{'x': -80.82391959374998, 'y': 35.013174}","{'x': -80.82922206249998, 'y': 35.013174}",408.862682642435
1032,"{'x': -80.82922306249998, 'y': 35.0369195625}","{'x': -80.83452603125, 'y': 35.0369195625}","{'x': -80.82922306249998, 'y': 35.030983171875}","{'x': -80.83452603125, 'y': 35.030983171875}",408.9123744841227
