,topleft,topright,bottomleft,bottomright,radius
0,"{'x': -80.998948125, 'y': 35.02504578125}","{'x': -81.0042510625, 'y': 35.02504578125}","{'x': -80.998948125, 'y': 35.019109890625}","{'x': -81.0042510625, 'y': 35.019109890625}",408.9098040326522
1,"{'x': -81.0042520625, 'y': 35.02504578125}","{'x': -81.009554, 'y': 35.02504578125}","{'x': -81.0042520625, 'y': 35.019109890625}","{'x': -81.009554, 'y': 35.019109890625}",408.88292268209943
2,"{'x': -80.998948125, 'y': 35.019108890625006}","{'x': -81.0042510625, 'y': 35.019108890625006}","{'x': -80.998948125, 'y': 35.013174}","{'x': -81.0042510625, 'y': 35.013174}",408.8752865811487
3,"{'x': -81.0042520625, 'y': 35.019108890625006}","{'x': -81.009554, 'y': 35.019108890625006}","{'x': -81.0042520625, 'y': 35.013174}","{'x': -81.009554, 'y': 35.013174}",408.84839905683276
4,"{'x': -80.98834025, 'y': 35.02504578125}","{'x': -80.9936436875, 'y': 35.02504578125}","{'x': -80.98834025, 'y': 35.019109890625}","{'x': -80.9936436875, 'y': 35.019109890625}",408.9232459462503
5,"{'x': -80.9936446875, 'y': 35.02504578125}","{'x': -80.998947125, 'y': 35.02504578125}","{'x': -80.9936446875, 'y': 35.019109890625}","{'x': -80.998947125, 'y': 35.019109890625}",408.8963629445748
6,"{'x': -80.98834025, 'y': 35.019108890625006}","{'x': -80.9936436875, 'y': 35.019108890625006}","{'x': -80.98834025, 'y': 35.013174}","{'x': -80.9936436875, 'y': 35.013174}",408.8887315817046
7,"{'x': -80.9936446875, 'y': 35.019108890625006}","{'x': -80.998947125, 'y': 35.019108890625006}","{'x': -80.9936446875, 'y': 35.013174}","{'x': -80.998947125, 'y': 35.013174}",408.86184240616427
8,"{'x': -80.998948125, 'y': 35.0369195625}","{'x': -81.0042510625, 'y': 35.0369195625}","{'x': -80.998948125, 'y': 35.030983171875}","{'x': -81.0042510625, 'y': 35.030983171875}",408.91153463601427
9,"{'x': -81.0042520625, 'y': 35.0369195625}","{'x': -81.009554, 'y': 35.0369195625}","{'x': -81.0042520625, 'y': 35.030983171875}","{'x': -81.009554, 'y': 35.030983171875}",408.8846612082266
10,"{'x': -80.998948125, 'y': 35.030982171875}","{'x': -81.0042510625, 'y': 35.030982171875}","{'x': -80.998948125, 'y': 35.02504678125}","{'x': -81.0042510625, 'y': 35.02504678125}",408.87701597868255
11,"{'x': -81.0042520625, 'y': 35.030982171875}","{'x': -81.009554, 'y': 35.030982171875}","{'x': -81.0042520625, 'y': 35.02504678125}","{'x': -81.009554, 'y': 35.02504678125}",408.8501363768313
12,"{'x': -80.98834025, 'y': 35.0369195625}","{'x': -80.9936436875, 'y': 35.0369195625}","{'x': -80.98834025, 'y': 35.030983171875}","{'x': -80.9936436875, 'y': 35.030983171875}",408.92497258806293
13,"{'x': -80.9936446875, 'y': 35.0369195625}","{'x': -80.998947125, 'y': 35.0369195625}","{'x': -80.9936446875, 'y': 35.030983171875}","{'x': -80.998947125, 'y': 35.030983171875}",408.8980975093749
14,"{'x': -80.98834025, 'y': 35.030982171875}","{'x': -80.9936436875, 'y': 35.030982171875}","{'x': -80.98834025, 'y': 35.02504678125}","{'x': -80.9936436875, 'y': 35.02504678125}",408.89045701783925
15,"{'x': -80.9936446875, 'y': 35.030982171875}","{'x': -80.998947125, 'y': 35.030982171875}","{'x': -80.9936446875, 'y': 35.02504678125}","{'x': -80.998947125, 'y': 35.02504678125}",408.8635757649861
16,"{'x': -80.97773287499999, 'y': 35.02504578125}","{'x': -80.98303606249999, 'y': 35.02504578125}","{'x': -80.97773287499999, 'y': 35.019109890625}","{'x': -80.98303606249999, 'y': 35.019109890625}",408.9165248862662
17,"{'x': -80.98303706249999, 'y': 35.02504578125}","{'x': -80.98833925, 'y': 35.02504578125}","{'x': -80.98303706249999, 'y': 35.019109890625}","{'x': -80.98833925, 'y': 35.019109890625}",408.8896427101318
18,"{'x': -80.97773287499999, 'y': 35.019108890625006}","{'x': -80.98303606249999, 'y': 35.019108890625006}","{'x': -80.97773287499999, 'y': 35.013174}","{'x': -80.98303606249999, 'y': 35.013174}",408.8820089782353
19,"{'x': -80.98303706249999, 'y': 35.019108890625006}","{'x': -80.98833925, 'y': 35.019108890625006}","{'x': -80.98303706249999, 'y': 35.013174}","{'x': -80.98833925, 'y': 35.013174}",408.8551206282869
20,"{'x': -80.96712449999998, 'y': 35.02504578125}","{'x': -80.97242818749999, 'y': 35.02504578125}","{'x': -80.96712449999998, 'y': 35.019109890625}","{'x': -80.97242818749999, 'y': 35.019109890625}",408.9299672125941
21,"{'x': -80.97242918749998, 'y': 35.02504578125}","{'x': -80.97773187499999, 'y': 35.02504578125}","{'x': -80.97242918749998, 'y': 35.019109890625}","{'x': -80.97773187499999, 'y': 35.019109890625}",408.9030833854183
22,"{'x': -80.96712449999998, 'y': 35.019108890625006}","{'x': -80.97242818749999, 'y': 35.019108890625006}","{'x': -80.96712449999998, 'y': 35.013174}","{'x': -80.97242818749999, 'y': 35.013174}",408.8954543915464
23,"{'x': -80.97242918749998, 'y': 35.019108890625006}","{'x': -80.97773187499999, 'y': 35.019108890625006}","{'x': -80.97242918749998, 'y': 35.013174}","{'x': -80.97773187499999, 'y': 35.013174}",408.868564390455
24,"{'x': -80.97773287499999, 'y': 35.0369195625}","{'x': -80.98303606249999, 'y': 35.0369195625}","{'x': -80.97773287499999, 'y': 35.030983171875}","{'x': -80.98303606249999, 'y': 35.030983171875}",408.91825350886756
25,"{'x': -80.98303706249999, 'y': 35.0369195625}","{'x': -80.98833925, 'y': 35.0369195625}","{'x': -80.98303706249999, 'y': 35.030983171875}","{'x': -80.98833925, 'y': 35.030983171875}",408.89137925560937
26,"{'x': -80.97773287499999, 'y': 35.030982171875}","{'x': -80.98303606249999, 'y': 35.030982171875}","{'x': -80.97773287499999, 'y': 35.02504678125}","{'x': -80.98303606249999, 'y': 35.02504678125}",408.8837363950835
27,"{'x': -80.98303706249999, 'y': 35.030982171875}","{'x': -80.98833925, 'y': 35.030982171875}","{'x': -80.98303706249999, 'y': 35.02504678125}","{'x': -80.98833925, 'y': 35.02504678125}",408.85685596771094
28,"{'x': -80.96712449999998, 'y': 35.0369195625}","{'x': -80.97242818749999, 'y': 35.0369195625}","{'x': -80.96712449999998, 'y': 35.030983171875}","{'x': -80.97242818749999, 'y': 35.030983171875}",408.93169187359035
29,"{'x': -80.97242918749998, 'y': 35.0369195625}","{'x': -80.97773187499999, 'y': 35.0369195625}","{'x': -80.97242918749998, 'y': 35.030983171875}","{'x': -80.97773187499999, 'y': 35.030983171875}",408.9048159695134
30,"{'x': -80.96712449999998, 'y': 35.030982171875}","{'x': -80.97242818749999, 'y': 35.030982171875}","{'x': -80.96712449999998, 'y': 35.02504678125}","{'x': -80.97242818749999, 'y': 35.02504678125}",408.8971778469398
31,"{'x': -80.97242918749998, 'y': 35.030982171875}","{'x': -80.97773187499999, 'y': 35.030982171875}","{'x': -80.97242918749998, 'y': 35.02504678125}","{'x': -80.97773187499999, 'y': 35.02504678125}",408.8702957686467
32,"{'x': -80.998948125, 'y': 35.04879284375001}","{'x': -81.0042510625, 'y': 35.04879284375001}","{'x': -80.998948125, 'y': 35.042856703125004}","{'x': -81.0042510625, 'y': 35.042856703125004}",408.8796064614753
33,"{'x': -81.0042520625, 'y': 35.04879284375001}","{'x': -81.009554, 'y': 35.04879284375001}","{'x': -81.0042520625, 'y': 35.042856703125004}","{'x': -81.009554, 'y': 35.042856703125004}",408.85273874565235
34,"{'x': -80.998948125, 'y': 35.04285570312501}","{'x': -81.0042510625, 'y': 35.04285570312501}","{'x': -80.998948125, 'y': 35.0369205625}","{'x': -81.0042510625, 'y': 35.0369205625}",408.845088118231
35,"{'x': -81.0042520625, 'y': 35.04285570312501}","{'x': -81.009554, 'y': 35.04285570312501}","{'x': -81.0042520625, 'y': 35.0369205625}","{'x': -81.009554, 'y': 35.0369205625}",408.81821422794303
36,"{'x': -80.98834025, 'y': 35.04879284375001}","{'x': -80.9936436875, 'y': 35.04879284375001}","{'x': -80.98834025, 'y': 35.042856703125004}","{'x': -80.9936436875, 'y': 35.042856703125004}",408.89304155736755
37,"{'x': -80.9936446875, 'y': 35.04879284375001}","{'x': -80.998947125, 'y': 35.04879284375001}","{'x': -80.9936446875, 'y': 35.042856703125004}","{'x': -80.998947125, 'y': 35.042856703125004}",408.86617219087645
38,"{'x': -80.98834025, 'y': 35.04285570312501}","{'x': -80.9936436875, 'y': 35.04285570312501}","{'x': -80.98834025, 'y': 35.0369205625}","{'x': -80.9936436875, 'y': 35.0369205625}",408.858526301432
39,"{'x': -80.9936446875, 'y': 35.04285570312501}","{'x': -80.998947125, 'y': 35.04285570312501}","{'x': -80.9936446875, 'y': 35.0369205625}","{'x': -80.998947125, 'y': 35.0369205625}",408.8316507603741
40,"{'x': -80.998948125, 'y': 35.06066712500001}","{'x': -81.0042510625, 'y': 35.06066712500001}","{'x': -80.998948125, 'y': 35.05473048437501}","{'x': -81.0042510625, 'y': 35.05473048437501}",408.88133104427607
41,"{'x': -81.0042520625, 'y': 35.06066712500001}","{'x': -81.009554, 'y': 35.06066712500001}","{'x': -81.0042520625, 'y': 35.05473048437501}","{'x': -81.009554, 'y': 35.05473048437501}",408.8544712540247
42,"{'x': -80.998948125, 'y': 35.05472948437501}","{'x': -81.0042510625, 'y': 35.05472948437501}","{'x': -80.998948125, 'y': 35.048793843750005}","{'x': -81.0042510625, 'y': 35.048793843750005}",408.84681149272024
43,"{'x': -81.0042520625, 'y': 35.05472948437501}","{'x': -81.009554, 'y': 35.05472948437501}","{'x': -81.0042520625, 'y': 35.048793843750005}","{'x': -81.009554, 'y': 35.048793843750005}",408.81994552770476
44,"{'x': -80.98834025, 'y': 35.06066712500001}","{'x': -80.9936436875, 'y': 35.06066712500001}","{'x': -80.98834025, 'y': 35.05473048437501}","{'x': -80.9936436875, 'y': 35.05473048437501}",408.8947621772152
45,"{'x': -80.9936446875, 'y': 35.06066712500001}","{'x': -80.998947125, 'y': 35.06066712500001}","{'x': -80.9936446875, 'y': 35.05473048437501}","{'x': -80.998947125, 'y': 35.05473048437501}",408.8679007365186
46,"{'x': -80.98834025, 'y': 35.05472948437501}","{'x': -80.9936436875, 'y': 35.05472948437501}","{'x': -80.98834025, 'y': 35.048793843750005}","{'x': -80.9936436875, 'y': 35.048793843750005}",408.860245713118
47,"{'x': -80.9936446875, 'y': 35.05472948437501}","{'x': -80.998947125, 'y': 35.05472948437501}","{'x': -80.9936446875, 'y': 35.048793843750005}","{'x': -80.998947125, 'y': 35.048793843750005}",408.83337809755534
48,"{'x': -80.97773287499999, 'y': 35.04879284375001}","{'x': -80.98303606249999, 'y': 35.04879284375001}","{'x': -80.97773287499999, 'y': 35.042856703125004}","{'x': -80.98303606249999, 'y': 35.042856703125004}",408.88632390626486
49,"{'x': -80.98303706249999, 'y': 35.04879284375001}","{'x': -80.98833925, 'y': 35.04879284375001}","{'x': -80.98303706249999, 'y': 35.042856703125004}","{'x': -80.98833925, 'y': 35.042856703125004}",408.8594553650875
50,"{'x': -80.97773287499999, 'y': 35.04285570312501}","{'x': -80.98303606249999, 'y': 35.04285570312501}","{'x': -80.97773287499999, 'y': 35.0369205625}","{'x': -80.98303606249999, 'y': 35.0369205625}",408.8518071066685
51,"{'x': -80.98303706249999, 'y': 35.04285570312501}","{'x': -80.98833925, 'y': 35.04285570312501}","{'x': -80.98303706249999, 'y': 35.0369205625}","{'x': -80.98833925, 'y': 35.0369205625}",408.8249323909753
52,"{'x': -80.96712449999998, 'y': 35.04879284375001}","{'x': -80.97242818749999, 'y': 35.04879284375001}","{'x': -80.96712449999998, 'y': 35.042856703125004}","{'x': -80.97242818749999, 'y': 35.042856703125004}",408.89975941477314
53,"{'x': -80.97242918749998, 'y': 35.04879284375001}","{'x': -80.97773187499999, 'y': 35.04879284375001}","{'x': -80.97242918749998, 'y': 35.042856703125004}","{'x': -80.97773187499999, 'y': 35.042856703125004}",408.8728892230092
54,"{'x': -80.96712449999998, 'y': 35.04285570312501}","{'x': -80.97242818749999, 'y': 35.04285570312501}","{'x': -80.96712449999998, 'y': 35.0369205625}","{'x': -80.97242818749999, 'y': 35.0369205625}",408.8652457025112
55,"{'x': -80.97242918749998, 'y': 35.04285570312501}","{'x': -80.97773187499999, 'y': 35.04285570312501}","{'x': -80.97242918749998, 'y': 35.0369205625}","{'x': -80.97773187499999, 'y': 35.0369205625}",408.83836933612946
56,"{'x': -80.97773287499999, 'y': 35.06066712500001}","{'x': -80.98303606249999, 'y': 35.06066712500001}","{'x': -80.97773287499999, 'y': 35.05473048437501}","{'x': -80.98303606249999, 'y': 35.05473048437501}",408.8880465076029
57,"{'x': -80.98303706249999, 'y': 35.06066712500001}","{'x': -80.98833925, 'y': 35.06066712500001}","{'x': -80.98303706249999, 'y': 35.05473048437501}","{'x': -80.98833925, 'y': 35.05473048437501}",408.8611858921086
58,"{'x': -80.97773287499999, 'y': 35.05472948437501}","{'x': -80.98303606249999, 'y': 35.05472948437501}","{'x': -80.97773287499999, 'y': 35.048793843750005}","{'x': -80.98303606249999, 'y': 35.048793843750005}",408.85352849977005
59,"{'x': -80.98303706249999, 'y': 35.05472948437501}","{'x': -80.98833925, 'y': 35.05472948437501}","{'x': -80.98303706249999, 'y': 35.048793843750005}","{'x': -80.98833925, 'y': 35.048793843750005}",408.82666170946067
60,"{'x': -80.96712449999998, 'y': 35.06066712500001}","{'x': -80.97242818749999, 'y': 35.06066712500001}","{'x': -80.96712449999998, 'y': 35.05473048437501}","{'x': -80.97242818749999, 'y': 35.05473048437501}",408.90147805310266
61,"{'x': -80.97242918749998, 'y': 35.06066712500001}","{'x': -80.97773187499999, 'y': 35.06066712500001}","{'x': -80.97242918749998, 'y': 35.05473048437501}","{'x': -80.97773187499999, 'y': 35.05473048437501}",408.8746157872445
62,"{'x': -80.96712449999998, 'y': 35.05472948437501}","{'x': -80.97242818749999, 'y': 35.05472948437501}","{'x': -80.96712449999998, 'y': 35.048793843750005}","{'x': -80.97242818749999, 'y': 35.048793843750005}",408.86696313275377
63,"{'x': -80.97242918749998, 'y': 35.05472948437501}","{'x': -80.97773187499999, 'y': 35.05472948437501}","{'x': -80.97242918749998, 'y': 35.048793843750005}","{'x': -80.97773187499999, 'y': 35.048793843750005}",408.84009469197855
64,"{'x': -80.95651737499998, 'y': 35.02504578125}","{'x': -80.96182043749998, 'y': 35.02504578125}","{'x': -80.95651737499998, 'y': 35.019109890625}","{'x': -80.96182043749998, 'y': 35.019109890625}",408.91316443328026
65,"{'x': -80.96182143749998, 'y': 35.02504578125}","{'x': -80.96712349999999, 'y': 35.02504578125}","{'x': -80.96182143749998, 'y': 35.019109890625}","{'x': -80.96712349999999, 'y': 35.019109890625}",408.88628267069566
66,"{'x': -80.95651737499998, 'y': 35.019108890625006}","{'x': -80.96182043749998, 'y': 35.019108890625006}","{'x': -80.95651737499998, 'y': 35.013174}","{'x': -80.96182043749998, 'y': 35.013174}",408.8786477535114
67,"{'x': -80.96182143749998, 'y': 35.019108890625006}","{'x': -80.96712349999999, 'y': 35.019108890625006}","{'x': -80.96182143749998, 'y': 35.013174}","{'x': -80.96712349999999, 'y': 35.013174}",408.85175981713826
68,"{'x': -80.94590924999999, 'y': 35.02504578125}","{'x': -80.95121281249999, 'y': 35.02504578125}","{'x': -80.94590924999999, 'y': 35.019109890625}","{'x': -80.95121281249999, 'y': 35.019109890625}",408.92660655401
69,"{'x': -80.95121381249999, 'y': 35.02504578125}","{'x': -80.95651637499998, 'y': 35.02504578125}","{'x': -80.95121381249999, 'y': 35.019109890625}","{'x': -80.95651637499998, 'y': 35.019109890625}",408.89972313881515
70,"{'x': -80.94590924999999, 'y': 35.019108890625006}","{'x': -80.95121281249999, 'y': 35.019108890625006}","{'x': -80.94590924999999, 'y': 35.013174}","{'x': -80.95121281249999, 'y': 35.013174}",408.8920929612117
71,"{'x': -80.95121381249999, 'y': 35.019108890625006}","{'x': -80.95651637499998, 'y': 35.019108890625006}","{'x': -80.95121381249999, 'y': 35.013174}","{'x': -80.95651637499998, 'y': 35.013174}",408.86520337212653
72,"{'x': -80.95651737499998, 'y': 35.0369195625}","{'x': -80.96182043749998, 'y': 35.0369195625}","{'x': -80.95651737499998, 'y': 35.030983171875}","{'x': -80.96182043749998, 'y': 35.030983171875}",408.9148940462656
73,"{'x': -80.96182143749998, 'y': 35.0369195625}","{'x': -80.96712349999999, 'y': 35.0369195625}","{'x': -80.96182143749998, 'y': 35.030983171875}","{'x': -80.96712349999999, 'y': 35.030983171875}",408.8880202065013
74,"{'x': -80.95651737499998, 'y': 35.030982171875}","{'x': -80.96182043749998, 'y': 35.030982171875}","{'x': -80.95651737499998, 'y': 35.02504678125}","{'x': -80.96182043749998, 'y': 35.02504678125}",408.88037616070596
75,"{'x': -80.96182143749998, 'y': 35.030982171875}","{'x': -80.96712349999999, 'y': 35.030982171875}","{'x': -80.96182143749998, 'y': 35.02504678125}","{'x': -80.96712349999999, 'y': 35.02504678125}",408.85349614685305
76,"{'x': -80.94590924999999, 'y': 35.0369195625}","{'x': -80.95121281249999, 'y': 35.0369195625}","{'x': -80.94590924999999, 'y': 35.030983171875}","{'x': -80.95121281249999, 'y': 35.030983171875}",408.9283322054177
77,"{'x': -80.95121381249999, 'y': 35.0369195625}","{'x': -80.95651637499998, 'y': 35.0369195625}","{'x': -80.95121381249999, 'y': 35.030983171875}","{'x': -80.95651637499998, 'y': 35.030983171875}",408.9014567132664
78,"{'x': -80.94590924999999, 'y': 35.030982171875}","{'x': -80.95121281249999, 'y': 35.030982171875}","{'x': -80.94590924999999, 'y': 35.02504678125}","{'x': -80.95121281249999, 'y': 35.02504678125}",408.89381740697917
79,"{'x': -80.95121381249999, 'y': 35.030982171875}","{'x': -80.95651637499998, 'y': 35.030982171875}","{'x': -80.95121381249999, 'y': 35.02504678125}","{'x': -80.95651637499998, 'y': 35.02504678125}",408.8669357406369
80,"{'x': -80.935301625, 'y': 35.02504578125}","{'x': -80.94060493749998, 'y': 35.02504578125}","{'x': -80.935301625, 'y': 35.019109890625}","{'x': -80.94060493749998, 'y': 35.019109890625}",408.91988539008065
81,"{'x': -80.94060593749998, 'y': 35.02504578125}","{'x': -80.94590824999999, 'y': 35.02504578125}","{'x': -80.94060593749998, 'y': 35.019109890625}","{'x': -80.94590824999999, 'y': 35.019109890625}",408.8930028019346
82,"{'x': -80.935301625, 'y': 35.019108890625006}","{'x': -80.94060493749998, 'y': 35.019108890625006}","{'x': -80.935301625, 'y': 35.013174}","{'x': -80.94060493749998, 'y': 35.013174}",408.8853702537906
83,"{'x': -80.94060593749998, 'y': 35.019108890625006}","{'x': -80.94590824999999, 'y': 35.019108890625006}","{'x': -80.94060593749998, 'y': 35.013174}","{'x': -80.94590824999999, 'y': 35.013174}",408.85848149180543
84,"{'x': -80.92469299999999, 'y': 35.02504578125}","{'x': -80.9299968125, 'y': 35.02504578125}","{'x': -80.92469299999999, 'y': 35.019109890625}","{'x': -80.9299968125, 'y': 35.019109890625}",408.93332792352993
85,"{'x': -80.92999781249999, 'y': 35.02504578125}","{'x': -80.935300625, 'y': 35.02504578125}","{'x': -80.92999781249999, 'y': 35.019109890625}","{'x': -80.935300625, 'y': 35.019109890625}",408.9064436828551
86,"{'x': -80.92469299999999, 'y': 35.019108890625006}","{'x': -80.9299968125, 'y': 35.019108890625006}","{'x': -80.92469299999999, 'y': 35.013174}","{'x': -80.9299968125, 'y': 35.013174}",408.8988158742359
87,"{'x': -80.92999781249999, 'y': 35.019108890625006}","{'x': -80.935300625, 'y': 35.019108890625006}","{'x': -80.92999781249999, 'y': 35.013174}","{'x': -80.935300625, 'y': 35.013174}",408.87192545962
88,"{'x': -80.935301625, 'y': 35.0369195625}","{'x': -80.94060493749998, 'y': 35.0369195625}","{'x': -80.935301625, 'y': 35.030983171875}","{'x': -80.94060493749998, 'y': 35.030983171875}",408.9216130222912
89,"{'x': -80.94060593749998, 'y': 35.0369195625}","{'x': -80.94590824999999, 'y': 35.0369195625}","{'x': -80.94060593749998, 'y': 35.030983171875}","{'x': -80.94590824999999, 'y': 35.030983171875}",408.8947383570768
90,"{'x': -80.935301625, 'y': 35.030982171875}","{'x': -80.94060493749998, 'y': 35.030982171875}","{'x': -80.935301625, 'y': 35.02504678125}","{'x': -80.94060493749998, 'y': 35.02504678125}",408.8870966802856
91,"{'x': -80.94060593749998, 'y': 35.030982171875}","{'x': -80.94590824999999, 'y': 35.030982171875}","{'x': -80.94060593749998, 'y': 35.02504678125}","{'x': -80.94590824999999, 'y': 35.02504678125}",408.86021584093163
92,"{'x': -80.92469299999999, 'y': 35.0369195625}","{'x': -80.9299968125, 'y': 35.0369195625}","{'x': -80.92469299999999, 'y': 35.030983171875}","{'x': -80.9299968125, 'y': 35.030983171875}",408.9350515941074
93,"{'x': -80.92999781249999, 'y': 35.0369195625}","{'x': -80.935300625, 'y': 35.0369195625}","{'x': -80.92999781249999, 'y': 35.030983171875}","{'x': -80.935300625, 'y': 35.030983171875}",408.9081752765872
94,"{'x': -80.92469299999999, 'y': 35.030982171875}","{'x': -80.9299968125, 'y': 35.030982171875}","{'x': -80.92469299999999, 'y': 35.02504678125}","{'x': -80.9299968125, 'y': 35.02504678125}",408.90053833924827
95,"{'x': -80.92999781249999, 'y': 35.030982171875}","{'x': -80.935300625, 'y': 35.030982171875}","{'x': -80.92999781249999, 'y': 35.02504678125}","{'x': -80.935300625, 'y': 35.02504678125}",408.87365584748636
96,"{'x': -80.95651737499998, 'y': 35.04879284375001}","{'x': -80.96182043749998, 'y': 35.04879284375001}","{'x': -80.95651737499998, 'y': 35.042856703125004}","{'x': -80.96182043749998, 'y': 35.042856703125004}",408.8829651576984
97,"{'x': -80.96182143749998, 'y': 35.04879284375001}","{'x': -80.96712349999999, 'y': 35.04879284375001}","{'x': -80.96182143749998, 'y': 35.042856703125004}","{'x': -80.96712349999999, 'y': 35.042856703125004}",408.85609702995686
98,"{'x': -80.95651737499998, 'y': 35.04285570312501}","{'x': -80.96182043749998, 'y': 35.04285570312501}","{'x': -80.95651737499998, 'y': 35.0369205625}","{'x': -80.96182043749998, 'y': 35.0369205625}",408.8484475862764
99,"{'x': -80.96182143749998, 'y': 35.04285570312501}","{'x': -80.96712349999999, 'y': 35.04285570312501}","{'x': -80.96182143749998, 'y': 35.0369205625}","{'x': -80.96712349999999, 'y': 35.0369205625}",408.82157328404463
100,"{'x': -80.94590924999999, 'y': 35.04879284375001}","{'x': -80.95121281249999, 'y': 35.04879284375001}","{'x': -80.94590924999999, 'y': 35.042856703125004}","{'x': -80.95121281249999, 'y': 35.042856703125004}",408.896400460665
101,"{'x': -80.95121381249999, 'y': 35.04879284375001}","{'x': -80.95651637499998, 'y': 35.04879284375001}","{'x': -80.95121381249999, 'y': 35.042856703125004}","{'x': -80.95651637499998, 'y': 35.042856703125004}",408.86953068076866
102,"{'x': -80.94590924999999, 'y': 35.04285570312501}","{'x': -80.95121281249999, 'y': 35.04285570312501}","{'x': -80.94590924999999, 'y': 35.0369205625}","{'x': -80.95121281249999, 'y': 35.0369205625}",408.8618859765648
103,"{'x': -80.95121381249999, 'y': 35.04285570312501}","{'x': -80.95651637499998, 'y': 35.04285570312501}","{'x': -80.95121381249999, 'y': 35.0369205625}","{'x': -80.95651637499998, 'y': 35.0369205625}",408.8350100220759
104,"{'x': -80.95651737499998, 'y': 35.06066712500001}","{'x': -80.96182043749998, 'y': 35.06066712500001}","{'x': -80.95651737499998, 'y': 35.05473048437501}","{'x': -80.96182043749998, 'y': 35.05473048437501}",408.8846887497714
105,"{'x': -80.96182143749998, 'y': 35.06066712500001}","{'x': -80.96712349999999, 'y': 35.06066712500001}","{'x': -80.96182143749998, 'y': 35.05473048437501}","{'x': -80.96712349999999, 'y': 35.05473048437501}",408.857828547657
106,"{'x': -80.95651737499998, 'y': 35.05472948437501}","{'x': -80.96182043749998, 'y': 35.05472948437501}","{'x': -80.95651737499998, 'y': 35.048793843750005}","{'x': -80.96182043749998, 'y': 35.048793843750005}",408.8501699700754
107,"{'x': -80.96182143749998, 'y': 35.05472948437501}","{'x': -80.96712349999999, 'y': 35.05472948437501}","{'x': -80.96182143749998, 'y': 35.048793843750005}","{'x': -80.96712349999999, 'y': 35.048793843750005}",408.82330359317154
108,"{'x': -80.94590924999999, 'y': 35.06066712500001}","{'x': -80.95121281249999, 'y': 35.06066712500001}","{'x': -80.94590924999999, 'y': 35.05473048437501}","{'x': -80.95121281249999, 'y': 35.05473048437501}",408.89812008975696
109,"{'x': -80.95121381249999, 'y': 35.06066712500001}","{'x': -80.95651637499998, 'y': 35.06066712500001}","{'x': -80.95121381249999, 'y': 35.05473048437501}","{'x': -80.95651637499998, 'y': 35.05473048437501}",408.8712582357111
110,"{'x': -80.94590924999999, 'y': 35.05472948437501}","{'x': -80.95121281249999, 'y': 35.05472948437501}","{'x': -80.94590924999999, 'y': 35.048793843750005}","{'x': -80.95121281249999, 'y': 35.048793843750005}",408.8636043975324
111,"{'x': -80.95121381249999, 'y': 35.05472948437501}","{'x': -80.95651637499998, 'y': 35.05472948437501}","{'x': -80.95121381249999, 'y': 35.048793843750005}","{'x': -80.95651637499998, 'y': 35.048793843750005}",408.8367363685947
112,"{'x': -80.935301625, 'y': 35.04879284375001}","{'x': -80.94060493749998, 'y': 35.04879284375001}","{'x': -80.935301625, 'y': 35.042856703125004}","{'x': -80.94060493749998, 'y': 35.042856703125004}",408.8896827056459
113,"{'x': -80.94060593749998, 'y': 35.04879284375001}","{'x': -80.94590824999999, 'y': 35.04879284375001}","{'x': -80.94060593749998, 'y': 35.042856703125004}","{'x': -80.94590824999999, 'y': 35.042856703125004}",408.8628137525702
114,"{'x': -80.935301625, 'y': 35.04285570312501}","{'x': -80.94060493749998, 'y': 35.04285570312501}","{'x': -80.935301625, 'y': 35.0369205625}","{'x': -80.94060493749998, 'y': 35.0369205625}",408.85516667787823
115,"{'x': -80.94060593749998, 'y': 35.04285570312501}","{'x': -80.94590824999999, 'y': 35.04285570312501}","{'x': -80.94060593749998, 'y': 35.0369205625}","{'x': -80.94590824999999, 'y': 35.0369205625}",408.8282915502614
116,"{'x': -80.92469299999999, 'y': 35.04879284375001}","{'x': -80.9299968125, 'y': 35.04879284375001}","{'x': -80.92469299999999, 'y': 35.042856703125004}","{'x': -80.9299968125, 'y': 35.042856703125004}",408.9031184212184
117,"{'x': -80.92999781249999, 'y': 35.04879284375001}","{'x': -80.935300625, 'y': 35.04879284375001}","{'x': -80.92999781249999, 'y': 35.042856703125004}","{'x': -80.935300625, 'y': 35.042856703125004}",408.87624781606934
118,"{'x': -80.92469299999999, 'y': 35.04285570312501}","{'x': -80.9299968125, 'y': 35.04285570312501}","{'x': -80.92469299999999, 'y': 35.0369205625}","{'x': -80.9299968125, 'y': 35.0369205625}",408.868605480798
119,"{'x': -80.92999781249999, 'y': 35.04285570312501}","{'x': -80.935300625, 'y': 35.04285570312501}","{'x': -80.92999781249999, 'y': 35.0369205625}","{'x': -80.935300625, 'y': 35.0369205625}",408.84172870100565
120,"{'x': -80.935301625, 'y': 35.06066712500001}","{'x': -80.94060493749998, 'y': 35.06066712500001}","{'x': -80.935301625, 'y': 35.05473048437501}","{'x': -80.94060493749998, 'y': 35.05473048437501}",408.89140431624236
121,"{'x': -80.94060593749998, 'y': 35.06066712500001}","{'x': -80.94590824999999, 'y': 35.06066712500001}","{'x': -80.94060593749998, 'y': 35.05473048437501}","{'x': -80.94590824999999, 'y': 35.05473048437501}",408.8645432889052
