Population,Per Capita Income,Median Household Income,Household Owner,zip code tabulation area
800.0,21224.0,-666666666.0,0.0,27531
24162.0,45747.0,84724.0,16747.0,27517
20506.0,50262.0,105875.0,15181.0,27518
22303.0,44504.0,100099.0,19770.0,27539
52464.0,63640.0,126832.0,40961.0,27519
1544.0,19783.0,43074.0,1155.0,27507
31659.0,19284.0,69380.0,11540.0,27514
4066.0,32848.0,56735.0,3003.0,27541
44491.0,44535.0,88188.0,29675.0,27513
40116.0,31834.0,62343.0,28245.0,27520
14736.0,28529.0,50326.0,10974.0,27525
38928.0,23073.0,37580.0,22014.0,27530
32727.0,26498.0,45487.0,16858.0,27534
16574.0,17033.0,25122.0,6642.0,27536
35890.0,43540.0,96977.0,30507.0,27540
6047.0,15913.0,41069.0,2281.0,27509
6066.0,27249.0,48737.0,3870.0,27505
34916.0,31654.0,72087.0,22241.0,27511
26344.0,30764.0,58866.0,18895.0,27545
41460.0,33941.0,85639.0,26387.0,27516
13936.0,24799.0,51297.0,9166.0,27524
47683.0,31010.0,62047.0,33507.0,27529
9813.0,24748.0,45659.0,6273.0,27542
19984.0,30221.0,57407.0,15030.0,27591
1660.0,32989.0,60577.0,1397.0,27562
4941.0,27866.0,65893.0,3402.0,27581
5207.0,22384.0,36725.0,3245.0,27563
8200.0,18096.0,31886.0,5568.0,27589
1755.0,25158.0,41371.0,1320.0,27551
24609.0,25054.0,45223.0,16166.0,27565
7769.0,22296.0,43288.0,5067.0,27569
6755.0,32365.0,53875.0,5991.0,27583
16186.0,32313.0,59879.0,12911.0,27592
2404.0,21644.0,36051.0,1184.0,27553
14444.0,25344.0,49454.0,11704.0,27574
24351.0,22306.0,42982.0,13325.0,27577
156.0,25179.0,-666666666.0,112.0,27556
7070.0,33619.0,71518.0,6386.0,27572
23922.0,30046.0,55372.0,16805.0,27597
10061.0,18904.0,32266.0,2413.0,27601
30820.0,50971.0,93086.0,14659.0,27560
64368.0,39784.0,88414.0,50810.0,27587
18791.0,31301.0,62380.0,15054.0,27596
6972.0,20911.0,39659.0,4473.0,27557
2330.0,26552.0,56400.0,1913.0,27559
6125.0,45318.0,96304.0,5078.0,27571
24308.0,22188.0,43188.0,16088.0,27549
660.0,16523.0,30125.0,318.0,27555
626.0,26771.0,42031.0,298.0,27568
11203.0,17229.0,28076.0,5055.0,27573
17251.0,21909.0,38141.0,10277.0,27576
381.0,-666666666.0,-666666666.0,78.0,27582
53693.0,27468.0,60924.0,31334.0,27603
46321.0,27809.0,50540.0,16279.0,27606
33103.0,36566.0,57924.0,17597.0,27609
33242.0,41841.0,102950.0,26136.0,27614
52679.0,34156.0,64212.0,32335.0,27616
42863.0,41313.0,78709.0,29727.0,27615
18380.0,50100.0,80471.0,9842.0,27617
29067.0,32701.0,74786.0,11012.0,27607
75991.0,24342.0,48897.0,40871.0,27610
11343.0,49672.0,106630.0,8075.0,27608
37384.0,41738.0,73402.0,21319.0,27612
43484.0,45170.0,87774.0,31758.0,27613
46908.0,29415.0,54081.0,25756.0,27604
